class_name,lang,string_agg
Accountant,de,"Trainee Buchhalter;Auftragsbuchhalterin;Risikobuchhalterin;Software Support Buchhalterin;Anlagenbuchhalterin;Budgetbuchhalterin;Geschäftsbuchhalterin;Bilanzbuchhalterin;Wirtschaftsprüferin;Kostenrechnerin;Finanzbuchhalterin;Fondsbuchhalterin;Fonds-Kostenrechnerin;Managementbuchhalterin;Warenbuchhalterin;Profi-Buchhalterin;Immobilienbuchhalterin;Immobilien Buchhalterin;Personalbuchhalterin;Systems-Buchhalterin;System Buchhalterin;Steuerberaterin;Trainee Buchhalterin;Buchhalterin Trainee;Treasury Buchhalterin;Buchhalterin Treasury;9807 Amtlich zugelassener Wirtschaftsprüferin;9828 Auftragsbuchhalter;9817 professioneller Buchhalterin;Amtlich zugelassene Wirtschaftsprüferin;qualifizierte Buchhalterin CIMA;CIMA qualifizierte Buchhalterin;professionelle Buchhalterin;Darlehensbuchhalterin;9809 qualifizierter Buchhalterin CIMA;Darlehensbuchhalter;Buchhalter Treasury;Treasury Buchhalter;Buchhalter Trainee;Steuerberater;System Buchhalter;Systems-Buchhalter;Personalbuchhalter;Immobilien Buchhalter;Immobilienbuchhalter;professioneller Buchhalter;Profi-Buchhalter;Warenbuchhalter;Managementbuchhalter;Fonds-Kostenrechner;Fondsbuchhalter;Finanzbuchhalter;Kostenrechner;qualifizierter Buchhalter CIMA;Wirtschaftsprüfer;Amtlich zugelassener Wirtschaftsprüfer;Bilanzbuchhalter;Geschäftsbuchhalter;Budgetbuchhalter;Anlagenbuchhalter;Software Support Buchhalter;Risikobuchhalter"
Accountant,en,"CIMA Qualified Management Accountant;public finance accountant;Risk and Management Accountant;Staff Accountant;Systems Accountant;tax accountant;Property Accountant;Regulatory Risk Accountant;Certified Accounting Technician;Accounting technician;Accountant - Financial Systems;Management Accountant;Part-Qualified Chartered Accountant;Business Accountant;Certified Public Accountant;Chartered Accountant;Accountant;Cost Accountant;Financial Accountant;Fund Accountant;Fund and Cost Accountant;Internal Risk and Project accountant;Treasury and Risk Accountant;Certified Management Accountant;Product Accountant;Professional Accountant;Project and internal risk accountant;Asset And Risk Accountant;Budget Accountant"
Accounting,de,"Buchführung;Bilanzierungs;Buchführungs;Bilanzierung;verrechnung;verrechnungs;buchhaltung;buchhaltungs;rechungswesen"
Accounting,en,accounting
AccountingAuditServDept,de,""
AccountingAuditServDept,en,Tax Advisory
AccountingAuditingFinancialAdministration,en,"Chartered Accountant;financial solutions;tax preparation, CPA;cpa;CPA and advisory;accounting and business consulting;audit service;CPA and business consulting;internet-based tax preperation services;professional services CPA"
AccountingL,en,"fines;impertinent;tougher;clogs;clog;legislation;policies;policy;complaint;changes to;changes of;changes in;change to;change of;change in;sloppy;cumbersome;blundered;inaccessible;facing;settling;settled;settles;complaints;overhauls;overhaul;fined;bad;forensic;inadequate;reviews into;review into;investigative;repairs;repairing;repaired;repair;suspicious;criminal;settle"
AccountingR,en,"deficiencies;challenge;requirements;watchdogs;treatment;deficiency;problematic;watchdog;transparency;matters;matter;changes;change;efficiencies;efficiency;challenges;treatments;requirement"
Accusation,de,"Anklageschrift;Vorwurf;Vorwurfs;Anklagen;Vorwürfen;Vorwürfe;Anklage"
