class_name,lang,string_agg
BoardMember,en,"treasury of Board of Directors;Chairwoman;Chairwoman of the Supervisory Board;Chairwoman of the Management Board;Chairwoman of the Executive Board;Chairwoman of Supervisory Board;Chairwoman of Management Board;Chairwoman of Executive Board;Chairwoman of Board of Directors;Chairwoman of Board of Director;Advisory Board Chair;Advisory Board Chairman;Board Chair;Board Chairman;Board of Director Chair;Board of Director Chairman;Board of Directors Chair;Board of Directors Chairman;Chair of Advisory Board;Chair of Board of Director;Chair of Board of Directors;Chair of Executive Board;Chair of Management Board;Chair of Supervisory Board;Chair of the Advisory Board;Chair of the Board;Chair of the Board of Director;Chair of the Board of Directors;Chair of the Executive Board;Chair of the Supervisory Board;Chairman of Advisory Board;Chairman of Board of Director;Chairman of Board of Directors;Chairman of Executive Board;Chairman of Management Board;Chairman of Supervisory Board;Chairman of the Advisory Board;Chairman of the Board;Chairman of the Executive Board;Chairman of the Management Board;Chairman of the Supervisory Board;Executive Board Chair;Executive Board Chairman;Management Board Chair;Management Board Chairman;Supervisory Board Chair;Supervisory Board Chairman;chairman;chairperson;Executive Chairman;chairperson of the board;executive chairperson;Board Treasurer;Board of Directors/Treasurer;Treasurer/Board of Directors;Treasurer of the Board;treasury of the Board;Board of Directors member;Executive Board member;member of Executive Board;member of Management Board;treasury of Supervisory Board;treasury of Management Board;member of Supervisory Board;treasury of Executive Board;member of the Board;Supervisory Board member;Member Board;boardmember;Board Mbr;treasury of Board of Director;treasury of Advisory Board;Supervisory Board treasury;Management Board treasury;Executive Board treasury;Board treasury;Board of Directors treasury;Board of Director treasury;Advisory Board treasury;Board VP;Executive Vice President;Executive VP;Assistant Vice President;Vice President of the Board;Vice President of Supervisory Board;Vice President of Management Board;Vice President of Executive Board;Vice President of Board of Directors;Vice President of Board of Director;Vice President of Advisory Board;Supervisory Board Vice President;Management Board Vice President;Executive Board Vice President;Board Vice President;Board of Directors Vice President;Board of Director Vice President;Advisory Board Vice President;Vice Chairman;Vice Chairman of the Supervisory Board;Vice Chairman of the Executive Board;Vice Chairman of the Board of Directors;Vice Chairman of the Board of Director;Vice Chairman of the Board;Vice Chairman of the Advisory Board;Vice Chairman of Supervisory Board;Vice Chairman of Management Board;Vice Chairman of Executive Board;Vice Chairman of Board of Directors;Vice Chairman of Board of Director;Vice Chairman of Advisory Board;Vice Chair of the Board;Vice Chair of Supervisory Board;Vice Chair of Management Board;Vice Chair of Executive Board;Vice Chair of Board of Directors;Vice Chair of Board of Director;Vice Chair of Advisory Board;Supervisory Board Vice Chairman;Supervisory Board Vice Chair;Management Board Vice Chairman;Management Board Vice Chair;Executive Board Vice Chairman;Executive Board Vice Chair;Board Vice Chairman;Board Vice Chair;Board of Directors Vice Chairman;Board of Directors Vice Chair;Board of Director Vice Chairman;Board of Director Vice Chair;Advisory Board Vice Chairman;Advisory Board Vice Chair;Vice Chairwoman of the Supervisory Board;Vice Chairwoman of the Management Board;board advisor;Advisor to the board;Advisor to Board of Directors;Advisor to Sr Deputy Chairman;Advisor to the Chairman;Advisor to Chairman of the Board;Advisor to Chairman of Management Board;Advisor to Chairman of Executive Board;Advisor to Chairman of Board of Directors;Advisor to Chairman of Board of Director;Supervisory Board President;President of the Board;President of Supervisory Board;President of Management Board;President of Executive Board;President of Board of Directors;President of Board of Director;President of Advisory Board;Management Board President;Executive Board President;Board President;Board of Directors President;Board of Director President;Advisory Board President;director exception;non-executive director;director at large;Board of Dir;Board Dir;Board Director;Advisory Board Secretary;Board of Director Secretary;Board of Directors Secretary;Board Secretary;Executive Board Secretary;Management Board Secretary;Secretary of Advisory Board;Secretary of Board of Director;Secretary of Board of Directors;Secretary of Executive Board;Secretary of Management Board;Secretary of Supervisory Board;Secretary of the Board;Supervisory Board Secretary;Advisory Board member;Board member;Board of Director member;Management Board member;member of Board of Directors"
BoardViceChair,de,"stellvertretende Vorstandsvorsitzende;stellvertretende Aufsichtsratsvorsitzende;Vizepräsidentin des Verwaltungsrats;Stellvertretende Vorsitzende des Aufsichtsrats"
Bomb,de,"Bomben;Bombe"
Bomb,en,"bomb;bombs"
Bomber,en,"bomber;bombers"
BondL,en,"secured;26710 secureds;38812 unsecureds;26708 secures;unsecured;secure"
Bookkeeper,de,"Buchhalterin;Buchhalter"
Bookkeeper,en,"Bookkeeper;book-keeper"
Bookrunner,en,"joint bookrunner;book runners;book runner;bookrunners;bookrunner;sole bookrunner;lead book runners;joint book runner;joint book runners;co bookrunners;sole bookrunners;sole book runner;sole book runners;co-bookrunners;lead bookrunners;lead bookrunner;lead left book runners;lead left bookrunner;lead left book runner;lead book runner;joint bookrunners;lead left bookrunners"
Boom,de,"eskalation;aufschwungs;aufschwungen;boom;aufwallung;eskalierung;boomen;boomt;anschwellens;anschwellen;technologie explosion;aufschwung;preisexplosion;hausse;bevölkerungsexplosion;aufwallungen;haussiert;eskalierungen;haussieren"
Boom,en,"sudden increase;market demand explosion;sales explosion;growth explosion;explosion of market demand;market explosion;technology explosion;gold explosion;sudden increases;explosion of technology;rapid rally;rapid surge;major increases;boom;booms;booming;explosion of tourism;tourism explosion;price explosion;real estate explosion;household explosion;fintech explosion;population explosion;upsurge;upsurges;major increase"
BoomSocL,en,"population;baby"
Borrower,de,"Schuldner;Schuldnern;Darlehensnehmer;Entleihern;Kreditnehmer;Darlehensnehmern;Entleihers;Kreditnehmerin;Kreditnehmers;Kreditnehmern;Darlehensnehmers;Entleiher;Schuldners"
Borrower,en,"borrower;mortgagors;debitors;debitor;mortgagor;borrowers"
Boycott,de,Boykott
Boycott,en,Boycott
BranchOffice,de,""
BranchOffice,en,branch office
Brand,de,"Markenzeichen;Handelsmarkens;Markenname;Brandzeichen;Marken;Handelsmarken;Handelsmarke;Brandzeichens;Markenzeichens;Markens;Marke;Markennames"
Brand,en,"Brand;Brands;branding"
Breakthrough,de,"Geschichte schreiben;Durchbruch;durchschlag;absonderlicher;absonderlichem;absonderlichen;absonderliches;absonderliche;absonderlich;ausgefallenem;ausgefallenen;ausgefallenes;ausgefallene;ausgefallen;ungeschlagenem;ungeschlagener;einzigartig;einzigartige;ungeschlagenes;entscheidender;entscheidendem;entscheidenden;entscheidende;entscheidendes;entscheidend;ausschlaggebend;überragende;überragend;schlüsselmomentes;schlüsselmomenten;schlüsselmomente;schlüsselmoment;monumentaler;monumentales;monumentalem;monumentalen;monumentale;ungeschlagene;monumental;nie zuvor;ungeschlagen;einzigartiges;einzigartiger;beispiellos;bisher unnerreicht;allzeit;avantgarde;all zeit;unübertroffen;bahnbrechend;bahnbrechende;bahnbrechendes;bahnbrechenden;bahnbrechendem;bahnbrechender;welterschütternd;welterschütternde;welterschütterndes;welterschütternder;welterschütternden;welterschütterndem;radikal;radikale;radikaler;radikalen;radikalem;radikales;grunderschütternd;grunderschütternde;grunderschütternder;grunderschütternden;grunderschütterndem;unübertroffene;grunderschütterndes;unübertroffenen;hochmodern;richtungsweisenden;richtungsweisende;unübertroffenem;richtungsweisendes;richtungsweisendem;richtungsweisender;tektonische Verschiebung;epochemachend;tektonische Verschiebungen;epochales;epochalem;unpaarig;avantgard;beispiellos;beispiellose;beispielloses;beispiellosen;beispiellosem;beispielloser;ohnegleichen;sondergleichen;ohne Präzedenz;noch nie dagewesen;unübertroffenes;unvergleichlicher;unvergleichlichem;unvergleichlichen;Revolutionär;Revolutionäre;Revolutionären;Revolutionärem;Revolutionärer;revolutionieren;revolutioniert;unvergleichliche;unvergleichlich;einzigartigen;einzigartigem;neues Zeitalter;epochal;epochale;prominenten;prominentem;ven;historisch;historische;historischer;geschichte wurde geschrieben;seismographischen Verschiebung;seismographischen Verschiebungen;prominentes;prominente;prominent;erdrutschartig;epochaler;epochalen;erdrutschartige;erdrutschartiger;ausgezeichneter;erdrutschartigen;erdrutschartigem;erdrutschartiges;unerhört;unerhörte;ausgezeichnetem;unerhörtes;ausgezeichneten;ausgezeichnetes;ausgezeichnete;unerhörten;unerhörtem;unerhörter;ausgezeichnet;unkalkulierbar;unberechenbar;unvorhersehbar;vorsprung;führend;ungleiche;ungleich;am Rande von;unvergleichlichem;unvergleichlichen;unvergleichlicher;unvergleichliche;faden hängendes;konkurrenzlos;faden hängendem;konkurrenzlose;konkurrenzloser;konkurrenzloses;konkurrenzlosem;unvergleichlich;faden hängenden;faden hängender;faden hängende;faden hängend;konkurrenzlosen;unübertroffener"
Breakthrough,en,"unpredictably;all-time;never before;neverbefore;momentous;beyond any comparison;game changing;without any precedents;unpredictable;break-throughs;revolutionised;hung by a thread;herald a new time;heralds a new era;heralds a new epoch;heralds a new time;no match for;matchless;unmatched;game changer;gamechange;on the edge of;alltime;alltimes;never before heard of;Outlandish;game changers;gamechanger;on the brink of;heralded a new epoch;heralded a new era;On the verge of;historic;make history;makes history;outstandingly;epoch-making;oustanding;hangs by a thread;game change;beyond comparisons;pivotal;made history;making history;leading edge;outlandishly;hanging by a thread;hang by a thread;gamechangers;paramount;seismic shift;seismic shifts;seismicshift;seismicshifts;leading-edge;leadingedged;beyond comparison;incomparable;Breakthrough;prominently;ground-shattering;groundshattering;Decisive;prominence;cutting-edge;cuttingedge;prominent;radicalism;cuttingedged;cutting edge;decisively;ground shifting;radicalisms;radicals;groundshifting;ground-shifting;epoch making;groundbreaking;radical;earth-shattering;earthshattering;ground-breaking;broken new grounds;breaks new ground;breaks new grounds;broke new ground;tectonic shift;tectonic shifts;tectonicshift;tectonicshifts;tectonic-shift;revolutionising;revolutionized;revolutionizing;revolutionise;revolutionize;Revolutionary;herald a new epoch;herald a new era;broken new ground;breaking new grounds;never heard of before;unheardof;unprecendented;without precedents;breakthroughs;hard to predict;break-through;avant-guard;avantguard;without any precedent;with no precedent;with no precedents;unheard of;unparalleled;breaking new ground;broke new grounds;unsurpassed;peerless;unrivalled;unequalled;gamechanging"
Brewers,en,"beer and alcoholic beverages;breweries;beer"
BroadcastReDept,de,";"
BroadcastReDept,en,"Program;Civil Media Network;Radio and Television Broadcasting"
BroadcastingEntertainment,en,"video production;radio station;television channel;Theatre"
BroadlineRetailers,en,Broadline Retailers
Broker,de,"broker;brokerin;maklerin;makler"
Broker,en,broker
BrokerageCompanies,en,"commodity trading brokerage;Registered SEC Broker-Dealer;Online Brokerage"
BrokerageDept,de,""
BrokerageDept,en,"brokerage;derivatives prime brokerage;prime brokerage services;credit brokerage;prime brokerage sales;prime brokerage clearance services"
Bubble,de,"Blasenbildungen;Blasen;Blase;Blasen-;Blasenbildung"
Bubble,en,"bubble;bubbling;bubblecovery;bubblicious;bubbles;bubbled"
BubbleL,de,"spekulativ;explodiere;explodieren;aufgeblasen;kehren zurück;bliesen auf;bliest auf;kehrt zurück;kehrst zurück;kehre zurück;zurückkehren;bliesest auf;blies auf;rassistischer;rassistische;blast auf;blasen auf;bläst auf;blase auf;aufblasen;rassistisches;kehrte zurück;häuser;Ersatz;ersetzten;ersetztest;ersetzte;ersetzt;ersetze;ersetzen;aufkommender;aufkommenden;aufkommende;aufkommend;auftauchenden;auftauchende;auftauchend;Konzentration;konzentriertet;konzentrierten;konzentrierte;konzentriert;konzentrieren;kehrtest zurück;kehrten zurück;kehrtet zurück;zurückgekehrt;wiederholen;wiederhole;wiederholst;wiederholt;rassistischem;rassistischen;Rassist;diskriminieren;wiederholte;wiederholtest;wiederholten;wiederholtet;Rassisten;Rassistin;Rassistinnen;rassischer;rassische;rassisches;rassischem;rassischen;Rassismus;advent;rente;Günstlingswirtschaft;Vetterleswirtschaft;Vetterliwirtschaft;Vetternwirtschaft;Nepotismus;Apartheids;Apartheid;Diskriminierungen;renten;pensions;pensionen;altersrente;altersrenten;spekulations;Spekulation;Spekulationen;explodierst;spekulative;spekulativen;spekulativer;Diskriminierungs;Diskriminierung;diskriminierten;vermögens;kapital;geplatzt;platztet;eigenkapital;diskriminierte;diskriminiert;spekulatives;spekulativem;vermögenswert;anlage;anlagen;platzten;Lebensmittel;Lebensmittels;Lebensmitteln;Nahrungsmittel;Nahrungsmittels;Nahrungsmitteln;Nahrung;Nahrungen;Nährstoff;Nährstoffs;Nährstoffes;Nährstoffe;Nährstoffen;Ernährung;Nährwert;Nährwerts;Nährwertes;Nährwerte;Nährwerten;urlaubs;Land;Landes;Ackerland;Ackerlandes;Ackerlands;Agrarland;Agrarlandes;Agrarlands;Landwirtschaftsflächen;börsen;witturm;platztest;platzte;platzt;platze;platzen;explodiertet;explodierten;explodiertest;explodierte;explodiert;gefährdet;Ende;Zusammenbruch"
BubbleL,en,"pension;land;lands;farmland;farm-land;farmlands;farm-lands;went nuts;going nuts;go insane;re-inflated;re-inflates;re-inflate;inflating;inflated;rebound;retreading;information;collapses;food;foods;foody;nourishment;recovery;inflates;repetition;repeated;repeats;repeat;returning;returned;returns;nourishments;sustenance;sustenances;nutrition;emerging;focuse on;return;overblows;overblow;focuses on;focused on;focusing on;monitor;over;monitors;housing;houses;house;doubled;monitored;biassed;assets;doubles;double;looming;inflate;explode;replacement of;stock exchange;racist;biasing;vulnerable to;effects of;recovers;recover;explodes;exploded;exploding;monitoring;nutritions;nutriment;nutriments;going insane;collapsed;deflate;discrimination;went insane;goes insane;discriminating;go manic;goes manic;asset;replace;replaces;replaced;replacing;went manic;going manic;go nuts;discriminated;deflates;deflated;goes nuts;discriminates;discriminate;racism;racial;deflating;holiday;holidays;pensions;benefits;annuities;biased;advent;bias;speculative;speculation;speculations;informations;informational;filter;filters;biassing;apartheid;favoritism;favouritism;recovered;blowing;blowed;blows;blow;collapse;busting;busted;ending;busts;bust;ended;ends;spreading;recovering;spreads;spread;going bang;went bang;goes bang;go bang;popping;re-inflating;popped;pops;pop;bursting;end;overblown;overblew;retread;rebounding;bursts;burst;doubling;retreads;rebounds"
BubbleR,de,"Angst;Ängsten;Rückblende;Gefahr;Flashback;unveränderte;Rückblenden;unveränderten;Ängste;Gefahren;Risiken;Risikos;unverändert;Risiko"
BubbleR,en,"unchange;flashbacks;risks;threat;threats;doubt;unchanged;risk;fear;fears;flashback;doubts"
Budget,de,"Haushalts;Budget;Etat"
Budget,en,"budgetings;budget;budgets;budgeting"
Build,de,"aufbauen;aufbauten;aufbaute;bau;aufbaut;konstruiert;konstruierte;erstellen;gebaut;baute;bauten;erschaffst;erzeugt;gründet;entwerfen;entwerfe;entwirfst;erzeuge;gründen;errichteten;errichtete;installierst;errichtet;errichten;erstellten;erzeugen;aufgebaut;erschafft;erschaffe;erstellte;erstellung;erschaffen;erstellungen;erstellt;gründeten;schaffst;geschaffen;schafft;schaffe;schaffen;entworfen;entwirft;bauen;konstruierten;gegründet;erbauen;erbaut;installiere;erbaute;erbauten;konstruieren;installiert;gründete;installieren;baues;baus;baut;Aufbaus;Aufbau"
Build,en,"creates;setting up;sets up;set up;erect;constructs;building;built;builds;build;erects;erecting;install;installs;installed;installing;create;erected;construct;created;creating;constructing;constructed"
BuildingMaterialsFixtures,en,"brick for residential;hard stone;ceramic;chemical building material;paints and varnishes;heating;tiles and stones;ceramic and glass;ceramics;limestone;concrete additives;building and maintenance products;concrete products and system;concrete;concrete building products;concrete cutting and sawing service;concrete drainage products;concrete paver;cement and construction material;granite stone material;concrete products;decorative stone;natural stone;heat pump;various stone products;construction materials;construction material;building material;building products;heat pumps;building materials and construction;bath accessories and toiletries;heat;bathroom products;building materials;precious stones;concrete and concrete related"
Business,de,"Geschäftes;Geschäften;Gewerbe;Geschäfte;Gewerben;Geschäft;Geschäfts"
Business,en,"businesses;business"
BusinessAdvisoryServices,de,""
BusinessAdvisoryServices,en,"business support and management consultation;investment holding and consultancy service;strategic advisory services"
BusinessAnalysisDept,en,Business Analysis
BusinessFacility,de,"Firmensitze;Firmensitzen;Agentur;Niederlassungen;Agenturen;Vertretung;Stores;Store;Vertretungen;Kaufhäusern;Filiale;Filialen;Kaufhauses;Kaufhäuser;Boutique;Boutiquen;Firmensitzes;Dienststelle;Lager;Kaufhaus;Läden;Supermärkte;Werkstatt;Werkstätte;Werkstätten;Laden;gaststätten;Produktionsstätte;Büro;Dienststellen;Zweigen;Zweiges;Hotels;Fabrik;Geschäftsstellen;Fabriken;Fabrikanlage;Fabrikationsstätte;Leitstellen;Hotel;Fabrikanlagen;gaststätte;Lagers;Lagern;Warenlager;Hauptgeschäftsstelle;Hauptgeschäftsstellen;Outlet;Hauptsitz;Hauptsitzes;Hauptsitzen;Hauptsitze;Zentrale;Zentralen;Supermärkten;Drugstores;Hauptquartier;Hauptgeschäftssitz;Geschäftszweige;Hauptgeschäftssitzes;Hauptgeschäftssitzen;Fabrikationsstätten;Center;Drugstore;Hauptgeschäftssitze;restaurants;restaurant;Verkaufstellen;Warenlagern;Labor;Zweigstelle;Labors;forschungsstätte;forschungsstätten;Montagehalle;Montagehallen;laboratorium;laboratorien;Fertigungshalle;Fertigungshallen;Lagerhalle;Verkaufsstelle;Geschäftszweigen;Produktionshalle;Produktionshallen;laborgebäude;Hauptstandort;Hauptstandorte;Hauptstandortes;Hauptstandorten;Hauptniederlassung;Hauptniederlassungen;laborgebäuden;Firmenzentrale;Kinos;Firmenzentralen;Kino;Apotheken;Apotheke;Supermarkt;Warenlagers;Zweig;Drogerien;Drogerie;Einkaufszentrum;Niederlassung;Leitstelle;Güterhallen;Güterhalle;Einkaufszentren;Zweige;Lagerhallen;Theaters;Anlage;Anlagen;Geschäftsstelle;Theater;Warendepots;Warendepot;Produktionsanlage;Produktionsanlagen;Werk;Werks;Werkes;Werke;Werken;Zweigstellen;Büros;Supermarktes;Outlets;Vetriebsstelle;Firmensitz;Vertriebstellen"
BusinessFacility,en,"supermarket;restaurants;office;offices;bureau;bureaus;hotels;hotel;laboratory;laboratories;cinemas;cinema;plant;plants;agency;agencies;theatres;boutique;boutiques;restaurant;warehouse;warehouses;factory;stores;center;centers;factories;shopping center;headquarters;store;Station;Stations;theatre;drugstores;assembly hall;assembly halls;production hall;production halls;shop;shops;branch;outlets;outlet;branches;shopping centers;drugstore;mall;malls;facility;facilities;supermarkets"
BusinessFinanceEconomics,en,"Business Finance Economics;BusinessFinanceEconomics"
